Influencer,link,video 1,video 2,video 3,Average Views,Multiplier
https://tiktok.com/@trafficconesaxman,https://tiktok.com/@trafficconesaxman,72200.0,145200.0,36500.0,407400.0,
https://tiktok.com/@maystxnreloaded,https://tiktok.com/@maystxnreloaded,85100.0,38200.0,274300.0,132380.0,
https://tiktok.com/@tomas_alvarez_okk,https://tiktok.com/@tomas_alvarez_okk,307900.0,881500.0,720300.0,603960.0,
https://tiktok.com/@dimechucho,https://tiktok.com/@dimechucho,115900.0,133600.0,288700.0,149140.0,
https://tiktok.com/@disleyramoses,https://tiktok.com/@disleyramoses,431200.0,357500.0,486500.0,482120.0,
https://tiktok.com/@daniellocampo,https://tiktok.com/@daniellocampo,75500.0,107800.0,5364.0,49225.6,
https://tiktok.com/@farrahandkaleb,https://tiktok.com/@farrahandkaleb,53900.0,557000.0,251200.0,232660.0,
https://tiktok.com/@simplykamarea,https://tiktok.com/@simplykamarea,6335.0,24600.0,53900.0,204647.0,
https://tiktok.com/@natoe69,https://tiktok.com/@natoe69,110200.0,1500000.0,735100.0,1023100.0,
https://tiktok.com/@alibaba_rcm,https://tiktok.com/@alibaba_rcm,634400.0,798200.0,425300.0,3151580.0,
https://tiktok.com/@zogno,https://tiktok.com/@zogno,41500.0,34400.0,32200.000000000004,229680.0,
https://tiktok.com/@harogilberto,https://tiktok.com/@harogilberto,10000.0,117200.0,115600.0,74062.8,
https://tiktok.com/@bradschemmel,https://tiktok.com/@bradschemmel,30300.0,35000.0,43800.0,31780.0,
https://tiktok.com/@ashray,https://tiktok.com/@ashray,45000.0,41300.0,26700.0,56320.0,
https://tiktok.com/@pinkskiiofficial,https://tiktok.com/@pinkskiiofficial,1643.0,7204.0,2265.0,3177.8,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@ezequieldeluca_,https://tiktok.com/@ezequieldeluca_,138900.0,119500.0,213200.0,256840.0,
https://tiktok.com/@curvavlogs7,https://tiktok.com/@curvavlogs7,56900.0,20700.0,265400.0,134000.0,
https://tiktok.com/@agustinandradaok,https://tiktok.com/@agustinandradaok,338300.0,1000000.0,1400000.0,1487660.0,
https://tiktok.com/@alanaribeirop,https://tiktok.com/@alanaribeirop,23000.0,14300.0,80000.0,101940.0,
https://tiktok.com/@menor_bruno,https://tiktok.com/@menor_bruno,321800.0,77000.0,52100.0,116400.0,
https://tiktok.com/@barbohsah,https://tiktok.com/@barbohsah,156300.0,231300.0,141800.0,252180.0,
https://tiktok.com/@Jordandaboo,https://tiktok.com/@Jordandaboo,5092.0,6430.0,8383.0,49061.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@matts_alright,https://tiktok.com/@matts_alright,128300.00000000001,114100.0,148000.0,128660.0,
https://tiktok.com/@franticframes,https://tiktok.com/@franticframes,2605.0,4012.0,500200.0,140063.4,
https://tiktok.com/@chazcarti,https://tiktok.com/@chazcarti,13300.0,12900.0,8237.0,10552.0,
https://tiktok.com/@keenanbank,https://tiktok.com/@keenanbank,68200.0,175400.0,87600.0,214520.0,
https://tiktok.com/@lucianamilessi,https://tiktok.com/@lucianamilessi,7039.0,72800.0,47100.0,35147.8,
https://tiktok.com/@caylanisaraiva,https://tiktok.com/@caylanisaraiva,2747.0,6976.0,7969.0,5090.4,
https://tiktok.com/@antogomez001,https://tiktok.com/@antogomez001,7771.0,167100.0,386300.0,167034.2,
https://tiktok.com/@chelseapre,https://tiktok.com/@chelseapre,3686.0,96700.0,70000.0,51857.2,
https://tiktok.com/@.lachyz,https://tiktok.com/@.lachyz,331600.0,82800.0,11700.0,124680.0,
https://tiktok.com/@sadiecrowell,https://tiktok.com/@sadiecrowell,357000.0,234500.0,421000.0,346960.0,
NO account found,NO account found,NO account found,NO account found,NO account found,NO account found,NO account found
https://tiktok.com/@ZaireGardnerd,https://tiktok.com/@ZaireGardnerd,949700.0,37900.0,1400000.0,654320.0,
https://tiktok.com/@FitXander,https://tiktok.com/@FitXander,7453.0,3359.0,5973.0,9399.8,
https://tiktok.com/@mirellyalmeidatorres,https://tiktok.com/@mirellyalmeidatorres,6373.0,10100.0,48700.0,22094.6,
https://tiktok.com/@talupellegrinoo,https://tiktok.com/@talupellegrinoo,106400.0,145600.0,244000.0,323820.0,
https://tiktok.com/@703.naz,https://tiktok.com/@703.naz,70500.0,180100.0,110100.0,455020.0,
https://tiktok.com/@ftdaily,https://tiktok.com/@ftdaily,14400.0,16700.0,54600.0,22423.2,
https://tiktok.com/@jason.nms,https://tiktok.com/@jason.nms,97100.0,212600.0,119700.0,237020.0,
https://tiktok.com/@sam_hutchinson,https://tiktok.com/@sam_hutchinson,121400.0,338200.0,291300.0,3330180.0,
https://tiktok.com/@lavdysheva,https://tiktok.com/@lavdysheva,1400000.0,2100000.0,128400.0,929340.0,
https://tiktok.com/@legendaley,https://tiktok.com/@legendaley,31200.0,9081.0,31900.0,20576.2,
https://tiktok.com/@justinlt23,https://tiktok.com/@justinlt23,1800000.0,189700.0,432600.0,585900.0,
https://tiktok.com/@kodekai,https://tiktok.com/@kodekai,57700.0,40700.0,81800.0,516720.0,
